Component1,Component2,Cluster
0.8694681910915033,-0.4331128471438612,2
3.220681672305421,-0.6769627900797073,1
1.739353721277122,-0.8206044367657255,2
1.5423987816352596,-0.379672501908504,2
1.2146040630831203,-0.2081374991884561,2
0.8880501245286744,-0.4697230884940375,2
1.213643827362752,-0.576852895130504,2
1.3351845706349548,-0.2278163696888183,2
1.1271369770030988,-0.572452034998324,2
0.8540124713099597,-0.3047683983354454,2
2.045871310623647,-0.646864419694135,2
2.153623238132717,-0.819965642363872,2
1.0338073092318805,-0.5456160092195318,2
0.4666226730704502,-0.2083434090665094,2
1.4073438692014637,-0.2437586998740921,2
1.2847152435810698,-0.5491991154811108,2
0.7850761078735086,-0.2678321038541825,2
0.8269542172009179,-0.4363045022294066,2
-2.974078654731453,-0.1772874894640012,0
-1.723660940402139,-0.1906621669576571,0
-2.165576977033116,0.0547067537885011,0
-1.730629733226769,-0.1784212418639501,0
-1.7973797464128791,-0.1241755812399239,0
-1.9636381754009125,-0.0296470108331784,0
-1.8837502604370708,-0.08763570885354,0
-1.00443174465787,-0.2510942797536635,0
-0.053061011884823,-0.8158429538084183,2
-1.8865796738001317,-0.0897107729301729,0
-1.38864611645189,-0.3322080108853183,0
1.7276625935829018,-1.4159189410322788,2
-1.9746091586328436,-0.0412999314480227,0
-2.1038003727234726,0.0243189344182509,0
-2.0868648079652283,0.0227373755761705,0
-0.8474812320412007,-0.4721866002725043,0
-1.4135746326862662,-0.2818268442112189,0
-0.944865099447915,-0.2624726515514778,0
-0.0921609269593491,-0.7248224834418271,2
-1.297015273835399,-0.5383482954737139,0
1.2001604655480544,-0.7967435305798138,2
4.860716386262543,2.393418039869709,1
2.7384326900816647,-0.1672906142555921,1
-1.0168023128409431,0.2941683580372203,0
1.1727187679333568,0.4614663566268215,2
0.7176897539702279,0.921528473890592,2
1.5770550934855807,0.9421284486690776,2
0.6066140167003872,0.8909790706051799,2
2.333871206266588,1.5197868569534283,1
-2.476178214603129,-0.179263779471328,0
0.0093927757968588,-0.4326209589835457,2
-0.4297004766377013,-0.6488895586497309,2
-1.3668908400835402,-0.207116282584485,0
-2.403625876094105,0.2671576236193016,0
-2.403625876094105,0.2671576236193016,0
-2.399101726186943,0.2644769574494006,0
-0.1424661669778498,-0.7576277222226069,2
-0.5924889553577661,-0.5358928217804346,2
-0.7668247777831505,-0.4094562530951637,0
-0.0575164084638021,-0.8132873649810076,2
-0.4538639901949073,-0.6149865532619041,2
-2.8677872813743392,-0.0292679508839692,0
-0.4036158693379034,0.1021246027832412,2
0.0936250376927374,-0.402257710233663,2
-0.8650674421270965,-0.0048969532173497,0
-1.1030577959988188,0.0723875355939452,0
-1.1995045883506552,0.129261185052861,0
-1.5469408778595088,0.2434908879354214,0
-1.7575364152119364,0.3392516497916074,0
-1.8487944003813157,0.3667017491604706,0
-0.9773915485576842,0.2799392096603946,0
-1.0855142806557745,0.0701245834542661,0
-1.5294563995980783,0.2624581059577386,0
-2.5885056012617915,0.1298601057871325,0
2.420256384099399,-0.2045335537138865,1
-0.3841504163986078,-0.5334766619534062,2
1.4063561115383632,-0.2823463406204728,2
2.6582457728438627,-0.3231565429240903,1
1.7983200924806926,0.1561827700326599,2
2.711900309252737,0.1758661658397414,1
3.920615815194391,0.6221631309062358,1
2.0602926415630245,-0.5967596377395351,2
2.9909687073589977,-0.6418304301929613,1
1.071810851386371,-0.4004505483319446,2
1.4749427067666012,-0.2743721084781602,2
-0.4881301425310496,-0.1732981172186065,2
-1.4472292521963803,-0.3567895744991931,0
-2.047540693157172,-0.0413543039411642,0
-1.6838047228324478,-0.2077040775720989,0
-0.3820346365831138,-0.8009317742437331,2
-0.6248520386551158,-0.7181998665088841,2
-1.2875892237057465,-0.4391848486951411,0
-1.4152571038593142,-0.3817665564937539,0
-1.2203583291129647,-0.4288601575535259,0
-1.3054895520367409,-0.4377323953665329,0
-0.7742236666998984,-0.6450710383308509,0
-1.339163359950049,-0.38366467850955,0
-2.4099076321560395,-0.214800731477299,0
-2.414887176011242,0.2599658639003405,0
-2.414887176011242,0.2599658639003405,0
-2.414887176011242,0.2599658639003405,0
-2.414887176011242,0.2599658639003405,0
-0.8420375075181911,-0.4120664662107045,0
0.0647461155505703,-0.8914581135525446,2
-1.7274371192433462,-0.0643898013822164,0
-1.2164184447503097,-0.2934400578587128,0
-0.6562199653312958,-0.2269098582588756,0
-1.610922986835169,-0.1102748224211746,0
1.3101664896800915,-1.1833752126547563,2
-2.1032007715761307,-0.2269748552547307,0
0.6805964738020104,0.7150004496232046,2
1.098639709812414,0.0734529554108824,2
-0.2012451926331496,-0.6654572414627759,2
0.1400336935516582,0.1655036726085703,2
2.606122500648674,-0.7257218611238578,1
0.192488697401412,-0.8985688054684603,2
0.8709741746318796,-0.1009167032174428,2
0.8439238765574557,-0.6035977361900761,2
0.908057094346134,0.4457838024320883,2
1.1948012439714948,-0.1317921873241551,2
0.7440306686598772,-0.8417299965841165,2
2.546135866395279,-0.637416935537883,1
0.8581728656503841,-0.8392560374147672,2
0.593357848755437,0.6165383303801565,2
-2.8677872813743392,-0.0292679508839692,0
-2.1322990601669414,0.0911461261619569,0
-1.3365121116792056,-0.3903440737649356,0
0.2299503578897233,-0.5773061536584672,2
